"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"118","2024-02-12 12:26:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07787","","1.07662","","","","","","","","",""
"119","2024-02-12 12:26:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07715","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.43"
"120","2024-02-12 12:26:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07662","","","","","","","","","","","","","","",""
"121","2024-02-12 12:26:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07787","","","","","","","","","","","","","","",""
"122","2024-02-12 12:26:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"123","2024-02-12 12:46:59 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07662","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","1.59000","","254.02"
"124","2024-02-12 12:46:59 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"125","2024-02-12 14:41:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07772","","1.07653","","","","","","","","",""
"126","2024-02-12 14:41:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07707","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","254.02"
"127","2024-02-12 14:41:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07653","","","","","","","","","","","","","","",""
"128","2024-02-12 14:41:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07772","","","","","","","","","","","","","","",""
"129","2024-02-12 14:41:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"130","2024-02-12 15:11:16 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07650","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","1.71000","","255.73"
"131","2024-02-12 15:11:16 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"132","2024-02-12 16:16:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07790","","1.07649","","","","","","","","",""
"133","2024-02-12 16:16:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07720","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","255.73"
"134","2024-02-12 16:16:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07649","","","","","","","","","","","","","","",""
"135","2024-02-12 16:16:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07790","","","","","","","","","","","","","","",""
"136","2024-02-12 16:16:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"137","2024-02-12 17:06:19 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07790","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-2.10000","","253.63"
